Centaur Zendo round 1 (training)
round_id : e73b193b198c4a399d3b843b8ef820bd
written  : 2026-09-04 14:13:17Z
presented=396  answered=396  correct=1  skipped=0
client answer latency: mean 0.146 ms  median 0.099 ms  max 10.278 ms  (n=396)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         241                                       to that a                                 0
   1  Wordz         3525                                      about information you information         0
   2  Wordz         27251                                     the government the through to             0
   3  Wordz         142434                                    the everything are everything because e…  0
   4  Wordz         252                                       the to and                                0
   5  Wordz         243                                       two four three                            0
   6  Wordz         142455                                    142455                                    0
   7  Wordz         124                                       r at like                                 0
   8  Wordz         262                                       government                                0
   9  Wordz         2513                                      toaboutathe                               0
  10  Wordz         452243                                    that about to to that the                 0
  11  Wordz         233325                                    you about about about you information     0
  12  Wordz         334435                                    that that which which that through        0
  13  Wordz         16173                                     the responsibility the telecommunicatio…  0
  14  Wordz         354435                                    the to and of a in                        0
  15  Wordz         33361                                     three three three six one                 0
  16  Wordz         1725                                      1725                                      0
  17  Wordz         252354                                    as think he one where more                0
  18  Wordz         4735                                      counterintelligence                       0
  19  Wordz         15232                                     aabouttotheto                             0
  20  Wordz         5326                                      about the to people                       0
  21  Wordz         332525                                    about about you information you informa…  0
  22  Wordz         2226                                      the the the something                     0
  23  Wordz         343633                                    because everything because responsibili…  0
  24  Wordz         2622                                      the to and of                             0
  25  Wordz         453322                                    four five three three two two             0
  26  Wordz         14321                                     14321                                     0
  27  Wordz         442                                       will just he                              0
  28  Wordz         142335                                    telecommunications                        0
  29  Wordz         3566                                      theaboutpeoplepeople                      0
  30  Wordz         232                                       to the to                                 0
  31  Wordz         231                                       you about the                             0
  32  Wordz         54263                                     through which the something that          0
  33  Wordz         3315                                      because because the university            0
  34  Wordz         23234                                     the to and of a                           0
  35  Wordz         16344                                     one six three four four                   0
  36  Wordz         3423                                      3423                                      0
  37  Wordz         3427                                      but just he getting                       0
  38  Wordz         251447                                                                              0
  39  Wordz         141                                       athata                                    0
  40  Wordz         33124                                     the the a to that                         0
  41  Wordz         4514                                      because information the because           0
  42  Wordz         342                                       that which the                            0
  43  Wordz         352223                                    because university are are are because    0
  44  Wordz         2422                                      the to and of                             0
  45  Wordz         1325                                      one three two five                        0
  46  Wordz         244224                                    244224                                    0
  47  Wordz         351433                                    but think e what can out                  0
  48  Wordz         213324                                    representatives                           0
  49  Wordz         263                                       topeoplethe                               0
  50  Wordz         363314                                    the people the the a that                 0
  51  Wordz         3433                                      about because about about                 0
  52  Wordz         12141                                     to the to which to                        1
