Centaur Zendo round 5 (training)
round_id : c18183b107a041db93f3251b841d9b37
written  : 2026-09-04 13:09:42Z
presented=485  answered=485  correct=4  skipped=0
client answer latency: mean 0.109 ms  median 0.091 ms  max 6.319 ms  (n=486)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          r5931                                     reason republican real run                0
   1  sarn          f4251                                     first for family few                      0
   2  sarn          h7345                                     hospital have house having                0
   3  sarn          s811                                      something she say                         0
   4  sarn          w4342                                     would with world was                      0
   5  sarn          b27239                                    but becoming big back background          0
   6  sarn          m4483                                     might money marketing more                0
   7  sarn          g1441                                     get great group got                       0
   8  sarn          s321448                                   some she say since story something        0
   9  sarn          d835636                                   details day down doing due death          0
  10  sarn          h62153                                    history his has having have               0
  11  sarn          e4368                                     early each english education              0
  12  sarn          b364217                                   back brought being but big becoming       0
  13  sarn          e296835                                   end exhausting english education each e…  0
  14  sarn          h4423                                     house hours his have                      0
  15  sarn          g2863                                     get godfather germany game                0
  16  sarn          p3232                                     part put play per                         0
  17  sarn          s3643                                     some special since said                   0
  18  sarn          s544                                      should since story                        0
  19  sarn          w43214                                    would with was who world                  0
  20  sarn          g131536                                   get game got ground give germany          0
  21  sarn          f412333                                   first for few from find four              0
  22  sarn          d563482                                   during details down doing dangerous day   0
  23  sarn          r225                                      run red right                             0
  24  sarn          b253                                      but behind back                           0
  25  sarn          w513                                      wanted was with                           0
  26  sarn          l331113                                   like life lot let law last                0
  27  sarn          r864443                                   reaction reason real read road run        0
  28  sarn          g254                                      get ground great                          0
  29  sarn          m2523                                     may making man more                       0
  30  sarn          s6722                                     special security she say                  0
  31  sarn          w22214                                    was who way why would                     0
  32  sarn          h231                                      his have has                              0
  33  sarn          d335                                      day due down                              0
  34  sarn          p2643                                     put problem place part                    0
  35  sarn          w21545                                    was who wanted would worked               0
  36  sarn          t33422                                    this they their the two                   0
  37  sarn          e875872                                   education explains enough edinburgh equ…  0
  38  sarn          a1577                                     and around articles argument              0
  39  sarn          e976                                      exhausting explains english               0
  40  sarn          m2666                                     may minutes medical michael               0
  41  sarn          b6141                                     brought but being big                     0
  42  sarn          a655                                      another around almost                     0
  43  sarn          p6265                                     personal part problems problem            0
  44  sarn          p7644                                     personal problem place point              0
  45  sarn          f21183                                    for few far favourite from                0
  46  sarn          m723                                      majority may more                         0
  47  sarn          s15376                                    she should some security special          0
  48  sarn          a358                                      also around alongside                     0
  49  sarn          p654                                      personal problem public                   0
  50  sarn          h34364                                    have house home history hours             0
  51  sarn          d6398                                     doing day daughter details                0
  52  sarn          w434                                      would with world                          0
  53  sarn          p443345                                   public person place point police problem  0
  54  sarn          f2415                                     for first few family                      0
  55  sarn          m52787                                    making may majority marketing machines    0
  56  sarn          b3657                                     back brought behind becoming              0
  57  sarn          r435                                      real run right                            0
  58  sarn          t4254                                     their the things think                    0
  59  sarn          r471                                      real reading run                          0
  60  sarn          r82341                                    relations run real right red              0
  61  sarn          f441414                                   first found for final few front           0
  62  sarn          p124                                      put per place                             0
  63  sarn          a72351                                    articles and also around are              0
  64  sarn          s8358                                     something some should secondary           0
  65  sarn          d84122                                    details day due dog die                   0
  66  sarn          d323                                      down day does                             0
  67  sarn          p6441                                     personal public person put                0
  68  sarn          m239                                      may more manuscript                       0
  69  sarn          c5824                                     change companies can could                0
  70  sarn          r2547                                     run reason right reaction                 0
  71  sarn          m43643                                    might more minutes money make             0
  72  sarn          t652                                      talking things the                        0
  73  sarn          f14643                                    for first friends found from              0
  74  sarn          b29269                                    but background big brought boundaries     0
  75  sarn          r149                                      run real relations                        0
  76  sarn          t51335                                    things the this they trying               0
  77  sarn          p332                                      place point part                          0
  78  sarn          f233                                      for from find                             0
  79  sarn          e562998                                   enough english end exhausting exhaustio…  0
  80  sarn          w213                                      was who with                              0
  81  sarn          t126562                                   the this teaching talking thousand they   0
  82  sarn          c432344                                   could come can city court close           0
  83  sarn          t752                                      traveling talking this                    0
  84  sarn          m42542                                    might may making money man                0
  85  sarn          c95962                                    complaints change completing company can  0
