Centaur Zendo round 3 (training)
round_id : ca3f023a73c749068b25d1efbd38f78d
written  : 2026-09-04 14:39:03Z
presented=473  answered=473  correct=473  skipped=0
client answer latency: mean 0.109 ms  median 0.083 ms  max 6.643 ms  (n=473)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         27251                                     you government you through the            1
   1  Wordz         262                                       you something you                         1
   2  Wordz         432524                                    because that you through you which        1
   3  Wordz         23143                                     you that the which about                  1
   4  Wordz         345                                       about which information                   1
   5  Wordz         2315                                      you that the through                      1
   6  Wordz         354                                       about through because                     1
   7  Wordz         325542                                    about the information through because t…  1
   8  Wordz         5426                                      information which you something           1
   9  Wordz         3434                                      about which about which                   1
  10  Wordz         453313                                    because through about that the that       1
  11  Wordz         443                                       because which about                       1
  12  Wordz         243                                       you which about                           1
  13  Wordz         46275                                     because something you government inform…  1
  14  Wordz         321638                                    about the the something about construct…  1
  15  Wordz         462                                       because something you                     1
  16  Wordz         252                                       you through you                           1
  17  Wordz         3337                                      about that about government               1
  18  Wordz         24333                                     you which about that about                1
  19  Wordz         34332                                     about which about that you                1
  20  Wordz         442525                                    because which you through you through     1
  21  Wordz         262423                                    you something you which you that          1
  22  Wordz         2344                                      you that because which                    1
  23  Wordz         2314                                      you that the which                        1
  24  Wordz         243245                                    you which about the because through       1
  25  Wordz         2326                                      you that you something                    1
  26  Wordz         47144                                     because government the which because      1
  27  Wordz         23361                                     you that about something the              1
  28  Wordz         252614                                    you through you something the which       1
  29  Wordz         422                                       because the you                           1
  30  Wordz         4325                                      because that you through                  1
  31  Wordz         22243                                     you the you which about                   1
  32  Wordz         36284                                     about something you construction because  1
  33  Wordz         452                                       because through you                       1
  34  Wordz         14332                                     the which about that you                  1
  35  Wordz         2213                                      you the the that                          1
  36  Wordz         242                                       you which you                             1
  37  Wordz         441                                       because which the                         1
  38  Wordz         4723                                      because government you that               1
  39  Wordz         442523                                    because which you through you that        1
  40  Wordz         4325                                      because that you through                  1
  41  Wordz         332334                                    about that you that about which           1
  42  Wordz         143424                                    the which about which you which           1
  43  Wordz         3232                                      about the about the                       1
  44  Wordz         252                                       you through you                           1
  45  Wordz         352235                                    about through you the about through       1
  46  Wordz         382352                                    about construction you that information…  1
  47  Wordz         54342                                     information which about which you         1
  48  Wordz         441424                                    because which the which you which         1
  49  Wordz         155523                                    the through information through you that  1
  50  Wordz         363                                       about something about                     1
  51  Wordz         344                                       about which because                       1
  52  Wordz         332                                       about that you                            1
  53  Wordz         25241                                     you through you which the                 1
  54  Wordz         453                                       because through about                     1
  55  Wordz         253                                       you through about                         1
  56  Wordz         1454                                      the which information which               1
  57  Wordz         4434                                      because which about which                 1
  58  Wordz         33342                                     about that about which you                1
  59  Wordz         244                                       you which because                         1
  60  Wordz         14163                                     the which the something about             1
  61  Wordz         535434                                    information that information which abou…  1
  62  Wordz         3557                                      about through information government      1
  63  Wordz         252623                                    you through you something you that        1
  64  Wordz         1742                                      the government because the                1
  65  Wordz         4646                                      because something because something       1
  66  Wordz         222232                                    you the you the about the                 1
  67  Wordz         363334                                    about something about that about which    1
  68  Wordz         2225                                      you the you through                       1
  69  Wordz         3324                                      about that you which                      1
  70  Wordz         45272                                     because through you government you        1
  71  Wordz         242725                                    you which you government you through      1
  72  Wordz         4347                                      because that because government           1
  73  Wordz         553                                       information through about                 1
  74  Wordz         46333                                     because something about that about        1
  75  Wordz         33292                                     about that you understanding you          1
  76  Wordz         36482                                     about something because construction you  1
  77  Wordz         135                                       the that information                      1
  78  Wordz         43243                                     because that you which about              1
  79  Wordz         353533                                    about through about through about that    1
  80  Wordz         343542                                    about which about through because the     1
  81  Wordz         352                                       about through you                         1
  82  Wordz         442                                       because which you                         1
  83  Wordz         265                                       you something information                 1
  84  Wordz         23453                                     you that because through about            1
  85  Wordz         334245                                    about that because the because through    1
  86  Wordz         2427                                      you which you government                  1
  87  Wordz         37331                                     about government about that the           1
  88  Wordz         24343                                     you which about which about               1
  89  Wordz         3723                                      about government you that                 1
  90  Wordz         3525                                      about through you through                 1
  91  Wordz         13263                                     the that you something about              1
  92  Wordz         342                                       about which you                           1
  93  Wordz         331425                                    about that the which you through          1
  94  Wordz         36133                                     about something the that about            1
  95  Wordz         24253                                     you which you through about               1
  96  Wordz         325                                       about the information                     1
  97  Wordz         352                                       about through you                         1
  98  Wordz         342635                                    about which you something about through   1
  99  Wordz         534224                                    information that because the you which    1
 100  Wordz         27252                                     you government you through you            1
 101  Wordz         3744                                      about government because which            1
 102  Wordz         244                                       you which because                         1
 103  Wordz         14272                                     the which you government you              1
 104  Wordz         213524                                    you to about through you which            1
 105  Wordz         342224                                    about which you the you which             1
 106  Wordz         352334                                    about through you that about which        1
 107  Wordz         45264                                     because through you something because     1
 108  Wordz         342544                                    about which you through because which     1
 109  Wordz         4425                                      because which you through                 1
 110  Wordz         2339                                      you that about understanding              1
 111  Wordz         26261                                     you something you something the           1
 112  Wordz         261543                                    you something the through because that    1
 113  Wordz         262433                                    you something you which about that        1
 114  Wordz         4456                                      because which information something       1
 115  Wordz         243                                       you which about                           1
 116  Wordz         4314                                      because that the which                    1
 117  Wordz         12363                                     the the about something about             1
 118  Wordz         363644                                    about something about something because…  1
 119  Wordz         16362                                     the something about something you         1
 120  Wordz         273213                                    you government about the the that         1
 121  Wordz         33372                                     about that about government you           1
 122  Wordz         2422                                      you which you the                         1
 123  Wordz         454213                                    because through because the the that      1
 124  Wordz         2225                                      you the you through                       1
 125  Wordz         24432                                     you which because that you                1
 126  Wordz         432443                                    because that you which because that       1
 127  Wordz         231                                       you that the                              1
 128  Wordz         1323                                      the that you that                         1
 129  Wordz         3414                                      about which the which                     1
 130  Wordz         4334                                      because that about which                  1
 131  Wordz         3623                                      about something you that                  1
 132  Wordz         17543                                     the government information which about    1
 133  Wordz         36223                                     about something you the about             1
 134  Wordz         231                                       you that the                              1
 135  Wordz         25253                                     you through you through about             1
 136  Wordz         362443                                    about something you which because that    1
 137  Wordz         433436                                    because that about which about something  1
 138  Wordz         4636                                      because something about something         1
 139  Wordz         134622                                    the that because something you the        1
 140  Wordz         253437                                    you through about which about government  1
 141  Wordz         443526                                    because which about through you somethi…  1
 142  Wordz         351527                                    about through the through you government  1
 143  Wordz         23432                                     you that because that you                 1
 144  Wordz         441                                       because which the                         1
 145  Wordz         24352                                     you which about through you               1
 146  Wordz         35231                                     about through you that the                1
 147  Wordz         152                                       the through you                           1
 148  Wordz         3635                                      about something about through             1
 149  Wordz         1324                                      the that you which                        1
 150  Wordz         335526                                    about that information through you some…  1
 151  Wordz         245                                       you which information                     1
 152  Wordz         1235                                      the the about through                     1
 153  Wordz         2526                                      you through you something                 1
 154  Wordz         253                                       you through about                         1
 155  Wordz         353                                       about through about                       1
 156  Wordz         32342                                     about the about which you                 1
 157  Wordz         24241                                     you which you which the                   1
 158  Wordz         3234                                      about the about which                     1
 159  Wordz         224628                                    you the because something you construct…  1
 160  Wordz         16351                                     the something about through the           1
 161  Wordz         25462                                     you through because something you         1
 162  Wordz         2643                                      you something because that                1
 163  Wordz         253532                                    you through about through about the       1
 164  Wordz         252536                                    you through you through about something   1
 165  Wordz         4635                                      because something about through           1
 166  Wordz         352443                                    about through you which because that      1
 167  Wordz         2336                                      you that about something                  1
 168  Wordz         23454                                     you that because through because          1
 169  Wordz         434                                       because that because                      1
 170  Wordz         242643                                    you which you something because that      1
 171  Wordz         162                                       the something you                         1
 172  Wordz         433417                                    because that about which the government   1
 173  Wordz         351414                                    about through the which the which         1
 174  Wordz         362                                       about something you                       1
 175  Wordz         262                                       you something you                         1
 176  Wordz         473                                       because government about                  1
 177  Wordz         263815                                    you something about construction the th…  1
 178  Wordz         441                                       because which the                         1
 179  Wordz         432542                                    because that you through because the      1
 180  Wordz         243444                                    you which about which because which       1
 181  Wordz         22253                                     you the you through about                 1
 182  Wordz         472                                       because government you                    1
 183  Wordz         45242                                     because through you which you             1
 184  Wordz         58355                                     information construction about through …  1
 185  Wordz         271                                       you government the                        1
 186  Wordz         324                                       about the because                         1
 187  Wordz         332326                                    about that you that you something         1
 188  Wordz         2636                                      you something about something             1
 189  Wordz         333635                                    about that about something about through  1
 190  Wordz         3423                                      about which you that                      1
 191  Wordz         35132                                     about through the that you                1
 192  Wordz         24332                                     you which about that you                  1
 193  Wordz         1536                                      the through about something               1
 194  Wordz         143                                       the which about                           1
 195  Wordz         453                                       because through about                     1
 196  Wordz         22163                                     you the the something about               1
 197  Wordz         226                                       you the international                     1
 198  Wordz         232                                       you that you                              1
 199  Wordz         2425                                      you which you through                     1
 200  Wordz         441631                                    because which the something about to      1
 201  Wordz         362535                                    about something you through about throu…  1
 202  Wordz         23234                                     you that you that because                 1
 203  Wordz         2213                                      you the the that                          1
 204  Wordz         2532                                      you through about the                     1
 205  Wordz         173522                                    the government about through you the      1
 206  Wordz         1416                                      the which the something                   1
 207  Wordz         242325                                    you which you that you through            1
 208  Wordz         273124                                    you government about to you which         1
 209  Wordz         17252                                     the government you through you            1
 210  Wordz         484233                                    because construction because the about …  1
 211  Wordz         253                                       you through about                         1
 212  Wordz         35242                                     about through you which you               1
 213  Wordz         452                                       because through you                       1
 214  Wordz         363423                                    about something about which you that      1
 215  Wordz         422524                                    because the you through you which         1
 216  Wordz         432444                                    because that you which because which      1
 217  Wordz         43242                                     because that you which you                1
 218  Wordz         133                                       the that about                            1
 219  Wordz         262                                       you something you                         1
 220  Wordz         3546                                      about through because something           1
 221  Wordz         653                                       international through about               1
 222  Wordz         453544                                    because through about through because w…  1
 223  Wordz         352                                       about through you                         1
 224  Wordz         254                                       you through because                       1
 225  Wordz         544                                       information which because                 1
 226  Wordz         642544                                    international which you through because…  1
 227  Wordz         23272                                     you that you government you               1
 228  Wordz         363                                       about something about                     1
 229  Wordz         3243                                      about the because that                    1
 230  Wordz         254                                       you through because                       1
 231  Wordz         171                                       the government the                        1
 232  Wordz         34164                                     about which the something because         1
 233  Wordz         334524                                    about that because through you which      1
 234  Wordz         26321                                     you something about the the               1
 235  Wordz         22232                                     you the you that you                      1
 236  Wordz         274626                                    you government because something you so…  1
 237  Wordz         23342                                     you that about which you                  1
 238  Wordz         34344                                     about which about which because           1
 239  Wordz         3316                                      about that the something                  1
 240  Wordz         13344                                     the that about which because              1
 241  Wordz         2223                                      you the you that                          1
 242  Wordz         4544                                      because through because which             1
 243  Wordz         3224                                      about the you which                       1
 244  Wordz         24235                                     you which you that information            1
 245  Wordz         174                                       the government because                    1
 246  Wordz         54563                                     information which information something…  1
 247  Wordz         13531                                     the that information that the             1
 248  Wordz         3544                                      about through because which               1
 249  Wordz         252424                                    you through you which you which           1
 250  Wordz         644                                       international which because               1
 251  Wordz         35332                                     about through about that you              1
 252  Wordz         354                                       about through because                     1
 253  Wordz         533                                       information that about                    1
 254  Wordz         2426                                      you which you something                   1
 255  Wordz         242828                                    you which you construction you construc…  1
 256  Wordz         331                                       about that the                            1
 257  Wordz         345333                                    about which information that about that   1
 258  Wordz         24532                                     you which information that you            1
 259  Wordz         231                                       you that the                              1
 260  Wordz         1424                                      the which you which                       1
 261  Wordz         44332                                     because which about that you              1
 262  Wordz         3642                                      about something because the               1
 263  Wordz         333332                                    about that about that about the           1
 264  Wordz         333322                                    about that about that you the             1
 265  Wordz         243735                                    you which about government about through  1
 266  Wordz         2611                                      you something the to                      1
 267  Wordz         254523                                    you through because through you that      1
 268  Wordz         2246                                      you the because something                 1
 269  Wordz         343                                       about which about                         1
 270  Wordz         234                                       you that because                          1
 271  Wordz         44335                                     because which about that information      1
 272  Wordz         3425                                      about which you through                   1
 273  Wordz         342                                       about which you                           1
 274  Wordz         253                                       you through about                         1
 275  Wordz         144233                                    the which because the about that          1
 276  Wordz         64352                                     international which about through you     1
 277  Wordz         353                                       about through about                       1
 278  Wordz         332235                                    about that you the about through          1
 279  Wordz         242                                       you which you                             1
 280  Wordz         354                                       about through because                     1
 281  Wordz         2525                                      you through you through                   1
 282  Wordz         1526                                      the through you something                 1
 283  Wordz         142334                                    the which you that about which            1
 284  Wordz         225622                                    you the information something you the     1
 285  Wordz         242612                                    you which you something the the           1
 286  Wordz         133822                                    the that about construction you the       1
 287  Wordz         242254                                    you which you the information which       1
 288  Wordz         3516                                      about through the something               1
 289  Wordz         533                                       information that about                    1
 290  Wordz         432                                       because that you                          1
 291  Wordz         241533                                    you which the through about that          1
 292  Wordz         344                                       about which because                       1
 293  Wordz         1334                                      the that about which                      1
 294  Wordz         2525                                      you through you through                   1
 295  Wordz         3725                                      about government you through              1
 296  Wordz         23154                                     you that the through because              1
 297  Wordz         144823                                    the which because construction you that   1
 298  Wordz         241623                                    you which the something you that          1
 299  Wordz         151                                       the through the                           1
 300  Wordz         36284                                     about something you construction because  1
 301  Wordz         34553                                     about which information through about     1
 302  Wordz         344557                                    about which because through information…  1
 303  Wordz         253224                                    you through about the you which           1
 304  Wordz         353                                       about through about                       1
 305  Wordz         432225                                    because that you the you through          1
 306  Wordz         3224                                      about the you which                       1
 307  Wordz         2325                                      you that you through                      1
 308  Wordz         3622                                      about something you the                   1
 309  Wordz         553                                       information through about                 1
 310  Wordz         15463                                     the through because something about       1
 311  Wordz         33233                                     about that you that about                 1
 312  Wordz         372438                                    about government you which about constr…  1
 313  Wordz         262324                                    you something you that you which          1
 314  Wordz         25351                                     you through about through the             1
 315  Wordz         432635                                    because that you something about through  1
 316  Wordz         361823                                    about something the construction you th…  1
 317  Wordz         131524                                    the that the through you which            1
 318  Wordz         2624                                      you something you which                   1
 319  Wordz         34562                                     about which information something you     1
 320  Wordz         3337                                      about that about government               1
 321  Wordz         353                                       about through about                       1
 322  Wordz         352                                       about through you                         1
 323  Wordz         372                                       about government you                      1
 324  Wordz         26172                                     you something the government you          1
 325  Wordz         442                                       because which you                         1
 326  Wordz         232                                       you that you                              1
 327  Wordz         52353                                     information the about through about       1
 328  Wordz         254                                       you through because                       1
 329  Wordz         1435                                      the which about through                   1
 330  Wordz         264                                       you something because                     1
 331  Wordz         5534                                      information through about which           1
 332  Wordz         4223                                      because the you that                      1
 333  Wordz         5337                                      information that about government         1
 334  Wordz         262454                                    you something you which information whi…  1
 335  Wordz         172436                                    the government you which about something  1
 336  Wordz         243225                                    you which about the you through           1
 337  Wordz         132444                                    the that you which because which          1
 338  Wordz         163                                       the something about                       1
 339  Wordz         53574                                     information that information government…  1
 340  Wordz         3415                                      about which the through                   1
 341  Wordz         36332                                     about something about that you            1
 342  Wordz         2325                                      you that you through                      1
 343  Wordz         233336                                    you that about that about something       1
 344  Wordz         36233                                     about something you that about            1
 345  Wordz         3744                                      about government because which            1
 346  Wordz         14235                                     the which you that information            1
 347  Wordz         1323                                      the that you that                         1
 348  Wordz         1536                                      the through about something               1
 349  Wordz         434335                                    because that because that about through   1
 350  Wordz         461                                       because something the                     1
 351  Wordz         322226                                    about the you the you something           1
 352  Wordz         353434                                    about through about which about which     1
 353  Wordz         1626                                      the something you something               1
 354  Wordz         3425                                      about which you through                   1
 355  Wordz         3343                                      about that because that                   1
 356  Wordz         2433                                      you which about that                      1
 357  Wordz         2224                                      you the you which                         1
 358  Wordz         552                                       information through you                   1
 359  Wordz         131                                       the that the                              1
 360  Wordz         24152                                     you which the through you                 1
 361  Wordz         321224                                    about the the the you which               1
 362  Wordz         4325                                      because that you through                  1
 363  Wordz         234423                                    you that because which you that           1
 364  Wordz         474525                                    because government because through you …  1
 365  Wordz         442                                       because which you                         1
 366  Wordz         15352                                     the through about through you             1
 367  Wordz         5614                                      information something the which           1
 368  Wordz         1434                                      the which about which                     1
 369  Wordz         3533                                      about through about that                  1
 370  Wordz         23372                                     you that about government you             1
 371  Wordz         251425                                    you through the which you through         1
 372  Wordz         333542                                    about that about through because the      1
 373  Wordz         45192                                     because through the understanding you     1
 374  Wordz         152327                                    the through you that you government       1
 375  Wordz         13451                                     the that because through the              1
 376  Wordz         222523                                    you the you through you that              1
 377  Wordz         252                                       you through you                           1
 378  Wordz         463                                       because something about                   1
 379  Wordz         3737                                      about government about government         1
 380  Wordz         341233                                    about which the the about that            1
 381  Wordz         142534                                    the which you through about which         1
 382  Wordz         634                                       international that because                1
 383  Wordz         263                                       you something about                       1
 384  Wordz         23541                                     you that information which the            1
 385  Wordz         22361                                     you the about something the               1
 386  Wordz         144                                       the which because                         1
 387  Wordz         15445                                     the through because which information     1
 388  Wordz         33163                                     about that the something about            1
 389  Wordz         33436                                     about that because that international     1
 390  Wordz         23453                                     you that because through about            1
 391  Wordz         473413                                    because government about which the that   1
 392  Wordz         4316                                      because that the something                1
 393  Wordz         272227                                    you government you the you government     1
 394  Wordz         343519                                    about which about through the understan…  1
 395  Wordz         13562                                     the that information something you        1
 396  Wordz         53141                                     information that the which the            1
 397  Wordz         1512                                      the through the the                       1
 398  Wordz         153525                                    the through about through you through     1
 399  Wordz         112622                                    the to you something you the              1
 400  Wordz         271                                       you government the                        1
 401  Wordz         252423                                    you through you which you that            1
 402  Wordz         252                                       you through you                           1
 403  Wordz         232                                       you that you                              1
 404  Wordz         245425                                    you which information which you through   1
 405  Wordz         3523                                      about through you that                    1
 406  Wordz         241                                       you which the                             1
 407  Wordz         325535                                    about the information through about thr…  1
 408  Wordz         2437                                      you which about government                1
 409  Wordz         26142                                     you something the which you               1
 410  Wordz         472                                       because government you                    1
 411  Wordz         52453                                     information the because through about     1
 412  Wordz         441                                       because which the                         1
 413  Wordz         444                                       because which because                     1
 414  Wordz         1524                                      the through you which                     1
 415  Wordz         324                                       about the because                         1
 416  Wordz         12223                                     the the you the about                     1
 417  Wordz         4634                                      because something about which             1
 418  Wordz         3526                                      about through you something               1
 419  Wordz         461534                                    because something the through about whi…  1
 420  Wordz         25262                                     you through you something you             1
 421  Wordz         2612                                      you something the the                     1
 422  Wordz         2632                                      you something about the                   1
 423  Wordz         55343                                     information through about which about     1
 424  Wordz         54143                                     information which the which about         1
 425  Wordz         35212                                     about through you to you                  1
 426  Wordz         134523                                    the that because through you that         1
 427  Wordz         152534                                    the through you through about which       1
 428  Wordz         373                                       about government about                    1
 429  Wordz         441                                       because which the                         1
 430  Wordz         261                                       you something the                         1
 431  Wordz         1235                                      the the about through                     1
 432  Wordz         33441                                     about that because which the              1
 433  Wordz         346                                       about which international                 1
 434  Wordz         46254                                     because something you through because     1
 435  Wordz         14464                                     the which because something because       1
 436  Wordz         254                                       you through because                       1
 437  Wordz         451435                                    because through the which about through   1
 438  Wordz         221336                                    you the the that about something          1
 439  Wordz         23221                                     you that you the the                      1
 440  Wordz         4445                                      because which because through             1
 441  Wordz         1412                                      the which the the                         1
 442  Wordz         3435                                      about which about through                 1
 443  Wordz         133513                                    the that about through the that           1
 444  Wordz         162423                                    the something you which you that          1
 445  Wordz         15453                                     the through because through about         1
 446  Wordz         2433                                      you which about that                      1
 447  Wordz         261                                       you something the                         1
 448  Wordz         36243                                     about something you which about           1
 449  Wordz         35253                                     about through you through about           1
 450  Wordz         332                                       about that you                            1
 451  Wordz         25345                                     you through about which information       1
 452  Wordz         421                                       because the the                           1
 453  Wordz         35362                                     about through about something you         1
 454  Wordz         3445                                      about which because through               1
 455  Wordz         433                                       because that about                        1
 456  Wordz         32242                                     about the you which you                   1
 457  Wordz         3524                                      about through you which                   1
 458  Wordz         374626                                    about government because something you …  1
 459  Wordz         124                                       the the because                           1
 460  Wordz         2522                                      you through you the                       1
 461  Wordz         4534                                      because through about which               1
 462  Wordz         144                                       the which because                         1
 463  Wordz         221316                                    you the the that the something            1
 464  Wordz         331343                                    about that the that because that          1
 465  Wordz         555                                       information through information           1
 466  Wordz         3344                                      about that because which                  1
 467  Wordz         343                                       about which about                         1
 468  Wordz         5455                                      information which information through     1
 469  Wordz         223                                       you the about                             1
 470  Wordz         25444                                     you through because which because         1
 471  Wordz         2545                                      you through because through               1
 472  Wordz         452623                                    because through you something you that    1

per-name tally this round
name             presented correct  hit-rate
Wordz                  473     473    100.0%
