Centaur Zendo round 1 (training)
round_id : 15948bb05d9b4e36ba714ae4791b7924
written  : 2026-09-04 12:24:19Z
presented=455  answered=443  correct=4  skipped=12
client answer latency: mean 0.105 ms  median 0.101 ms  max 0.358 ms  (n=456)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          l542                                      later like la                             0
   1  sarn          f364585                                   from friends first family following fri…  0
   2  sarn          t422437                                   that to tv this the through               0
   3  sarn          l436325                                   later like looking life lot little        0
   4  sarn          b44265                                    been back be before being                 0
   5  sarn          w12243                                    we was who which with                     0
   6  sarn          e87467                                    everyone example even enough english      0
   7  sarn          t5442                                     things their there the                    0
   8  sarn          m7642                                     members making more my                    0
   9  sarn          s172631                                   so services she someone some st           0
  10  sarn          e46556                                    even enough every early either            0
  11  sarn          m287                                      may mentioned military                    0
  12  sarn          d6655                                     during design doing death                 0
  13  sarn          l234123                                   lot like later la let life                0
  14  sarn          r721                                      results re r                              0
  15  sarn          f332254                                   from find for few family first            0
  16  sarn          m524548                                   might my more money make military         0
  17  sarn          e4744                                     every everyone early event                0
  18  sarn          f264421                                   ft family from find fi f                  0
  19  sarn          g1315                                     go good gm giving                         0
  20  sarn          c68233                                    called children co can car                0
  21  sarn          b3273                                     been but business back                    0
  22  sarn          d565445                                   doing during death down does david        0
  23  sarn          w11251                                    we wa was within wi                       0
  24  sarn          g24153                                    go good g going get                       0
  25  sarn          p656                                      problem people playing                    0
  26  sarn          l331                                      lot let l                                 0
  27  sarn          c292                                      can considered car                        1
  28  sarn          g354                                      get going good                            0
  29  sarn          f53254                                    family from for friend first              0
  30  sarn          f335335                                   for few first far fun found               0
  31  sarn          a4411                                     about after as at                         0
  32  sarn          s23681                                    so she should services s                  0
  33  sarn          g234413                                   get good going great go game              0
  34  sarn          g33243                                    get got go good god                       0
  35  sarn          m433262                                   might more make may members man           0
  36  sarn          p34647                                    put part people play problem              0
  37  sarn          l451681                                   later little la looking literally ll      0
  38  sarn          b479459                                   been because beautiful back being begin…  0
  39  sarn          m3167                                     more my members military                  0
  40  sarn          p6662                                     people please public pm                   0
  41  sarn          a13398                                    as also away absolutely according         0
  42  sarn          m6242                                     making my more me                         0
