Centaur Zendo round 3 (training)
round_id : e67a7dea059e4eb587163375e1086964
written  : 2026-09-04 16:31:17Z
presented=471  answered=471  correct=0  skipped=0
client answer latency: mean 0.136 ms  median 0.112 ms  max 5.760 ms  (n=472)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          h12585                                    hillary homework hebrew homeless helen    0
   1  sarn          f14438                                    flu flu flu flu flu                       0
   2  sarn          r52266                                    ranch re ra resume reduce                 0
   3  sarn          f2374                                     finding flower fire                       0
   4  sarn          b753                                      become bat better boo                     0
   5  sarn          p2324                                     peter                                     0
   6  sarn          m4433                                     margaret medium mentally mission          0
   7  sarn          c252                                      conclave concomitant crackle              0
   8  sarn          p245                                      pee, pakistani, provide                   0
   9  sarn          a42233                                    Appointment Again Advisory Advice Activ…  0
  10  sarn          p712476                                   patient public proved pursue profitable…  0
  11  sarn          h274624                                   hook hook hook hook hook hook             0
  12  sarn          e88567                                    entirely executed egypt excess exhibit    0
  13  sarn          m857                                      melt margin                               0
  14  sarn          w1334                                     weekly with without warn way              0
  15  sarn          e79487                                    economic                                  0
  16  sarn          h5814                                     halt harmony herself hollywood            0
  17  sarn          c459528                                   cerberus comforter culpability concubin…  0
  18  sarn          m4424                                     massage, mean, mentor, mitchell           0
  19  sarn          s163                                      Southeast Sadly Suite                     0
  20  sarn          p3323                                     privacy partnership philippines prosecu…  0
  21  sarn          p266412                                   phrase phrase phrase phrase phrase phra…  0
  22  sarn          h5321                                     hello hip he h                            0
  23  sarn          c463                                      cave curve                                0
  24  sarn          g6812                                     gauge gathering gibson grandmother gent…  0
  25  sarn          t343367                                   tea                                       0
  26  sarn          f556354                                   farming fascinating feat feminine float…  0
  27  sarn          r431452                                   ree roundhouse rajesh reshuffle roughne…  0
  28  sarn          c158467                                   chef, commerce, communication, cottage,…  0
  29  sarn          e497326                                   Executed Embrace Election Edge Equally …  0
  30  sarn          t644422                                   trading traffic technological torture t…  0
  31  sarn          e9427                                     enterprise enterprise enterprise enterp…  0
  32  sarn          a2376                                     an ago android august                     0
  33  sarn          r688                                      radio remind                              0
  34  sarn          e876295                                   effects engaging explain either emotion…  0
  35  sarn          p442                                      pretend                                   0
  36  sarn          l45634                                    legally license lightning lou lover       0
  37  sarn          a371665                                   assuredly absorbent appellant axed aqui…  0
  38  sarn          m73632                                    mouth, metal, mediterranean, myth, mich…  0
  39  sarn          b4353                                     Booked Beauty Bet Burned                  0
  40  sarn          c5423                                     cough creature coincidence context        0
  41  sarn          t1135                                     teacher teacher teacher teacher           0
  42  sarn          g2234                                     ga ga gay gone                            0
  43  sarn          w542424                                   wood wrote wore wonder wholesale          0
  44  sarn          g263444                                   globe grid grand grief ground gas gener…  0
  45  sarn          p3336                                     possession                                0
  46  sarn          w31443                                    want wash wit woman written               0
  47  sarn          l112                                      laborious loin lethargic                  0
  48  sarn          d2555                                     design, defeat, delhi, doctrine           0
