Centaur Zendo round 4 (training)
round_id : 9e85c81d555448389de46db71b0cfab7
written  : 2026-09-04 14:35:09Z
presented=477  answered=477  correct=477  skipped=0
client answer latency: mean 0.096 ms  median 0.092 ms  max 1.084 ms  (n=477)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         3352                                      before before population your             1
   1  Wordz         4314                                      american before to american               1
   2  Wordz         263636                                    your something before something before …  1
   3  Wordz         364335                                    before something american before before…  1
   4  Wordz         254413                                    your population american american to be…  1
   5  Wordz         372434                                    before understand your american before …  1
   6  Wordz         2342                                      your before american your                 1
   7  Wordz         343                                       before american before                    1
   8  Wordz         133                                       to before before                          1
   9  Wordz         252435                                    your population your american before po…  1
  10  Wordz         342                                       before american your                      1
  11  Wordz         34222                                     before american your your your            1
  12  Wordz         434538                                    american before american population bef…  1
  13  Wordz         242255                                    your american your your population popu…  1
  14  Wordz         25242                                     your population your american your        1
  15  Wordz         1525                                      to population your population             1
  16  Wordz         36333                                     before something before before before     1
  17  Wordz         252336                                    your population your before before some…  1
  18  Wordz         334125                                    before before american to your populati…  1
  19  Wordz         152                                       to population your                        1
  20  Wordz         363                                       before something before                   1
  21  Wordz         243547                                    your american before population america…  1
  22  Wordz         331336                                    before before to before before something  1
  23  Wordz         23333                                     your before before before before          1
  24  Wordz         282544                                    your construction your population ameri…  1
  25  Wordz         283                                       your particularly before                  1
  26  Wordz         441                                       american american to                      1
  27  Wordz         34343                                     before american before american before    1
  28  Wordz         2323                                      your before your before                   1
  29  Wordz         4326                                      american before your something            1
  30  Wordz         324524                                    before your american population your am…  1
  31  Wordz         461                                       american something to                     1
  32  Wordz         333413                                    before before before american to before   1
  33  Wordz         4733                                      american government before before         1
  34  Wordz         25353                                     your population before population before  1
  35  Wordz         244232                                    your american american your before your   1
  36  Wordz         342                                       before american your                      1
  37  Wordz         533744                                    population before before everything ame…  1
  38  Wordz         233                                       your before before                        1
  39  Wordz         2424                                      your american your american               1
  40  Wordz         262636                                    your something your something before so…  1
  41  Wordz         43273                                     american before your understand before    1
  42  Wordz         3623                                      before something your before              1
  43  Wordz         45255                                     american population your population pop…  1
  44  Wordz         373                                       before understand before                  1
  45  Wordz         2326                                      your before your something                1
  46  Wordz         442222                                    american american your your your your     1
  47  Wordz         25355                                     your population before population popul…  1
  48  Wordz         24332                                     your american before before your          1
  49  Wordz         162623                                    to something your something your before   1
  50  Wordz         443228                                    american american before your your admi…  1
  51  Wordz         253                                       your population before                    1
  52  Wordz         25334                                     your population before before american    1
  53  Wordz         33452                                     before before american population your    1
  54  Wordz         333                                       before before before                      1
  55  Wordz         281                                       your particularly to                      1
  56  Wordz         54454                                     population american american population…  1
  57  Wordz         442                                       american american your                    1
  58  Wordz         242224                                    your american your your your american     1
  59  Wordz         332                                       before before your                        1
  60  Wordz         3534                                      before population before american         1
  61  Wordz         22141                                     your your to american to                  1
  62  Wordz         143                                       to american before                        1
  63  Wordz         35231                                     before population your before to          1
  64  Wordz         453                                       american population before                1
  65  Wordz         242                                       your american your                        1
  66  Wordz         232522                                    your before your population your your     1
  67  Wordz         3535                                      before population before population       1
  68  Wordz         23153                                     your before to population before          1
  69  Wordz         2647                                      your something american government        1
  70  Wordz         223344                                    your your before before american americ…  1
  71  Wordz         343                                       before american before                    1
  72  Wordz         36233                                     before something your before before       1
  73  Wordz         15482                                     to population american particularly your  1
  74  Wordz         161524                                    to something to population your american  1
  75  Wordz         333436                                    before before before american before so…  1
  76  Wordz         23345                                     your before before american population    1
  77  Wordz         1424                                      to american your american                 1
  78  Wordz         244                                       your american american                    1
  79  Wordz         2626                                      your something your something             1
  80  Wordz         344316                                    before american american before to some…  1
  81  Wordz         324735                                    before your american government before …  1
  82  Wordz         462712                                    american something your everything to y…  1
  83  Wordz         263524                                    your something before population your a…  1
  84  Wordz         343                                       before american before                    1
  85  Wordz         24441                                     your american american american to        1
  86  Wordz         142                                       to american your                          1
  87  Wordz         324                                       before your american                      1
  88  Wordz         1425                                      to american your population               1
  89  Wordz         152622                                    to population your something your your    1
  90  Wordz         23213                                     your before your to before                1
  91  Wordz         24442                                     your american american american your      1
  92  Wordz         4416                                      american american to something            1
  93  Wordz         243326                                    your american before before your someth…  1
  94  Wordz         462453                                    american something your american popula…  1
  95  Wordz         364                                       before something american                 1
  96  Wordz         23264                                     your before your something american       1
  97  Wordz         3726                                      before everything your something          1
  98  Wordz         33323                                     before before before your before          1
  99  Wordz         25242                                     your population your american your        1
 100  Wordz         242                                       your american your                        1
 101  Wordz         242736                                    your american your understand before so…  1
 102  Wordz         342                                       before american your                      1
 103  Wordz         244635                                    your american american something before…  1
 104  Wordz         15222                                     to population your your your              1
 105  Wordz         3744                                      before government american american       1
 106  Wordz         2232                                      your your before your                     1
 107  Wordz         4237                                      american your before understand           1
 108  Wordz         252424                                    your population your american your amer…  1
 109  Wordz         435334                                    american before population before befor…  1
 110  Wordz         362421                                    before something your american your to    1
 111  Wordz         134424                                    to before american american your americ…  1
 112  Wordz         24246                                     your american your american autonomous    1
 113  Wordz         3537                                      before population before understand       1
 114  Wordz         181                                       to construction to                        1
 115  Wordz         341                                       before american to                        1
 116  Wordz         561                                       population something to                   1
 117  Wordz         154436                                    to population american american before …  1
 118  Wordz         163                                       to something before                       1
 119  Wordz         23162                                     your before to something your             1
 120  Wordz         16323                                     to something before your before           1
 121  Wordz         244422                                    your american american american your yo…  1
 122  Wordz         3441                                      before american american to               1
 123  Wordz         3415                                      before american to population             1
 124  Wordz         562                                       population something your                 1
