Centaur Zendo round 2 (training)
round_id : 7a9d660bd4114491bb59683ee562d60d
written  : 2026-09-04 12:34:56Z
presented=485  answered=485  correct=2  skipped=0
client answer latency: mean 0.086 ms  median 0.081 ms  max 0.228 ms  (n=485)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          p451                                      place people pc                           0
   1  sarn          r4342                                     ready read round red                      0
   2  sarn          g344452                                   get good go going got great               0
   3  sarn          l132                                      la like lot                               0
   4  sarn          h852258                                   hopefully health has had happen hollywo…  0
   5  sarn          w23125                                    with was we will what                     0
   6  sarn          a633152                                   another also away as around and           0
   7  sarn          r497                                      ready restaurant remember                 0
   8  sarn          h424342                                   have he his has had her                   0
   9  sarn          r33112                                    real read re ra run                       0
  10  sarn          d36456                                    does despite death design defense         0
  11  sarn          d7313                                     do did day down                           0
  12  sarn          r6232                                     running run real red                      0
  13  sarn          f415238                                   found fa friend few find financial        0
  14  sarn          r27284                                    really right real read run                0
  15  sarn          p677272                                   problem probably possible put position …  0
  16  sarn          g515633                                   ground ga george general game give        0
  17  sarn          t41215                                    the to that this they                     0
  18  sarn          a553                                      around always also                        0
  19  sarn          p667336                                   playing program possible play post proc…  0
  20  sarn          w23153                                    with was we will what                     0
  21  sarn          f214                                      for fi first                              0
  22  sarn          l635655                                   limited life living leading london like…  0
  23  sarn          m795                                      my me more                                0
  24  sarn          e432                                      every even end                            0
  25  sarn          c627646                                   country car complete control court coll…  0
  26  sarn          w214                                      with was we                               0
  27  sarn          e248                                      end every education                       0
  28  sarn          m769                                      minister morning manchester               0
  29  sarn          d165                                      do did day                                0
  30  sarn          m37772                                    more military minister movement may       0
  31  sarn          h325423                                   here has health hours had home            0
  32  sarn          t4115                                     the to that this                          0
  33  sarn          w5122                                     within we was who                         0
  34  sarn          p8821                                     political potential per pa                0
  35  sarn          h264                                      have he his                               0
  36  sarn          s462                                      still someone she                         0
  37  sarn          g534654                                   ground game great general george group    0
  38  sarn          r621                                      really right real                         0
  39  sarn          b7352                                     business been before but                  0
  40  sarn          h44322                                    hours happy here has had                  0
  41  sarn          e774224                                   even every each end ever enough           0
  42  sarn          w2135                                     was we with within                        0
  43  sarn          d293744                                   day difference does decision death david  0
  44  sarn          d421551                                   do did day down does during               0
  45  sarn          g463                                      going getting good                        0
  46  sarn          b946                                      basketball based between                  0
  47  sarn          r11473                                    really right real read run                0
  48  sarn          s481338                                   still something so some said sometimes    0
  49  sarn          p43414                                    point play power pa party                 0
  50  sarn          r478                                      really right real                         0
  51  sarn          t21374                                    the to that together their                0
  52  sarn          t4442                                     there think these two                     0
  53  sarn          b2655                                     be by but been                            0
  54  sarn          s9141                                     successful so still st                    0
  55  sarn          r5341                                     rather read ready ra                      0
  56  sarn          d836                                      do did day                                0
  57  sarn          m2242                                     may man might men                         0
  58  sarn          h463287                                   hours history here has hopefully honest…  0
  59  sarn          l321384                                   like life last love long look             0
  60  sarn          e754                                      everyone enough every                     0
  61  sarn          t54232                                    trying there two this too                 0
  62  sarn          p773                                      people part place                         0
  63  sarn          t6412                                     through their to the                      0
  64  sarn          b373                                      back building best                        0
  65  sarn          g453                                      get good go                               0
  66  sarn          t5412                                     though their to the                       0
  67  sarn          b3563                                     back better between best                  0
  68  sarn          e56976                                    even every each end ever                  0
  69  sarn          s596                                      should successful someone                 0
  70  sarn          l16442                                    li limited least local let                0
  71  sarn          a23789                                    and a as are at                           0
  72  sarn          d2644                                     did decided doing death                   0
  73  sarn          f376334                                   find february further feel free found     0
  74  sarn          m84643                                    my me more make most                      0
  75  sarn          r873413                                   religious research real right re read     0
  76  sarn          m832262                                   meanwhile make man men morning met        0
  77  sarn          h34411                                    have he his has had                       0
  78  sarn          p554425                                   people please place point put public      0
  79  sarn          c536                                      course city country                       0
  80  sarn          f2316                                     for from first find                       0
  81  sarn          a64311                                    another about also as at                  0
  82  sarn          h34163                                    here hours hi history home                0
  83  sarn          r384226                                   really right real read run research       0
  84  sarn          w134333                                   we with which will what when              0
  85  sarn          d933                                      difference does days                      0
  86  sarn          d53915                                    do did day down does                      0
  87  sarn          s5149                                     should so still successful                0
  88  sarn          f35342                                    find friend feel found few                0
  89  sarn          p4454                                     people part place please                  0
  90  sarn          d43368                                    doing down does decided different         0
  91  sarn          r3853                                     read reference rather room                0
  92  sarn          l51455                                    like life last love long                  0
  93  sarn          a434                                      about also after                          0
  94  sarn          p773                                      possible position play                    0
  95  sarn          h464136                                   have he his has had her                   0
  96  sarn          b497456                                   being background business based before …  0
  97  sarn          e897472                                   effective experience evidence early eco…  0
  98  sarn          s215852                                   so she some see said should               0
  99  sarn          w544433                                   within which would where with will        0
 100  sarn          l243432                                   let least life local last law             0
 101  sarn          p45156                                    people part place please put              0
 102  sarn          d7559                                     director during design department         0
 103  sarn          f635153                                   further find friend fa future feel        0
 104  sarn          r612668                                   really right real read run research       0
 105  sarn          w2241                                     was who which we                          0
 106  sarn          s4321                                     state said see st                         0
 107  sarn          t42232                                    the to that this they                     0
 108  sarn          p3425                                     part place put people                     0
 109  sarn          d42252                                    death day due design dog                  0
 110  sarn          d58239                                    do did day down does                      0
 111  sarn          h56627                                    having however history his hospital       0
 112  sarn          m46484                                    money morning music meanwhile maybe       0
 113  sarn          t42142                                    the to that this they                     0
 114  sarn          d7837                                     director different down decision          0
 115  sarn          d726354                                   decision day despite does design death    0
 116  sarn          l22541                                    like life last love long                  0
 117  sarn          c626                                      company can country                       0
 118  sarn          t321143                                   this two th te there they                 0
 119  sarn          g66352                                    get good go going got                     0
 120  sarn          l225                                      lot let little                            0
 121  sarn          f715                                      february fa friend                        0
 122  sarn          s66347                                    so she some see said                      0
 123  sarn          h45254                                    house having his health hours             0
 124  sarn          b6453                                     between based better back                 0
 125  sarn          p364334                                   people part place please put play         0
 126  sarn          a347913                                   also about anything absolutely as away    0
 127  sarn          s623731                                   support see said starting such st         0
 128  sarn          e55794                                    even every each end ever                  0
 129  sarn          d3335                                     down does days during                     0
 130  sarn          c23435                                    car city court care course                0
 131  sarn          t42151                                    the to that this they                     0
 132  sarn          s326584                                   some she someone should something still   0
 133  sarn          t127423                                   th two thinking there too this            0
 134  sarn          a333155                                   and a as are at an                        0
 135  sarn          d2218                                     did day do different                      0
 136  sarn          e566                                      either english exactly                    0
 137  sarn          s757                                      so she some                               0
 138  sarn          s27111                                    she security so st sa                     0
 139  sarn          g622633                                   general got god growing game give         0
 140  sarn          d833                                      do did day                                0
 141  sarn          t235576                                   the that though trying together through   0
 142  sarn          a4457                                     after again always actually               0
 143  sarn          a2553                                     and a as are                              0
 144  sarn          r7621                                     research running run re                   0
 145  sarn          h632                                      history here has                          0
 146  sarn          p317                                      people part place                         0
 147  sarn          w413221                                   which we with was who wa                  0
 148  sarn          e29892                                    eat experience effective especially eye   0
 149  sarn          p15382                                    people part place please put              0
 150  sarn          b435                                      being been before                         0
 151  sarn          w523241                                   worked who will way would wa              0
 152  sarn          f523446                                   for from first find found feel            0
 153  sarn          a3768                                     also anything another according           0
 154  sarn          p326246                                   play per playing pay point program        0
 155  sarn          w42413                                    with was we will what                     0
 156  sarn          w517                                      within we whatever                        0
 157  sarn          h624546                                   history has hours health happy himself    0
 158  sarn          b634463                                   be by but been back because               0
 159  sarn          c254236                                   can change could car come company         0
 160  sarn          c56855                                    course country character coming chance    0
 161  sarn          r113267                                   really right real read run research       0
 162  sarn          a484                                      about according after                     0
 163  sarn          f52546                                    friend few future found further           0
 164  sarn          m242357                                   my me more make most much                 0
 165  sarn          e725836                                   everyone end enough education even exam…  0
 166  sarn          w41123                                    would wa wi who will                      0
 167  sarn          t741                                      the to that                               0
 168  sarn          a7967                                     anything absolutely another actually      0
 169  sarn          a241                                      are after at                              0
 170  sarn          g1542                                     get good go going                         0
 171  sarn          h615275                                   however he having his hospital health     0
 172  sarn          p44464                                    point power party playing phone           0
 173  sarn          t5333                                     the to that this                          0
 174  sarn          s34845                                    some still something state should         0
 175  sarn          s43735                                    state said starting such school           0
 176  sarn          s9448                                     so she some see                           0
 177  sarn          a239                                      and also absolutely                       0
 178  sarn          f551345                                   friend future fa find found former        0
 179  sarn          g5732                                     get good go going                         0
 180  sarn          s6432                                     someone still some she                    0
 181  sarn          g52512                                    ground got george ga god                  0
 182  sarn          g142                                      get good go                               0
 183  sarn          b334                                      been back being                           0
 184  sarn          b54537                                    better based become back building         0
 185  sarn          m914625                                   my me more make most much                 0
 186  sarn          h328                                      have his happening                        1
 187  sarn          s554384                                   school second state said sometimes since  0
 188  sarn          r52132                                    really right real read run                0
 189  sarn          b7664                                     business because between being            0
 190  sarn          s51331                                    school st said such sa                    0
 191  sarn          l544347                                   like life last love long look             0
 192  sarn          c564                                      change company could                      0
 193  sarn          g463                                      great general game                        0
 194  sarn          e276                                      even every each                           0
 195  sarn          d3481                                     down doing different do                   0
 196  sarn          r2744                                     red remember ready round                  0
 197  sarn          t434                                      the to that                               0
 198  sarn          f354                                      from family first                         0
 199  sarn          s3841                                     said sometimes state st                   0
 200  sarn          c289                                      can could come                            0
 201  sarn          h1326                                     he have his however                       0
 202  sarn          r63966                                    reading read restaurant related release   0
 203  sarn          c298                                      can could come                            0
 204  sarn          s17452                                    so security still should she              0
 205  sarn          d625                                      despite day design                        0
 206  sarn          f322                                      for from first                            0
 207  sarn          w51742                                    within we whatever which was              0
 208  sarn          d524382                                   design day death does difficult due       0
 209  sarn          c635493                                   can could come city company care          0
 210  sarn          a7533                                     anything around also away                 0
 211  sarn          e74744                                    evidence early economic event enjoy       0
 212  sarn          a36635                                    and a as are at                           0
 213  sarn          c63687                                    company come country community children   0
 214  sarn          l132                                      li life let                               0
 215  sarn          s556333                                   so she some see said should               0
 216  sarn          l236                                      lot like looking                          0
 217  sarn          b355                                      back better become                        0
 218  sarn          p323246                                   people part place please put play         0
 219  sarn          l6136                                     looking la like limited                   0
 220  sarn          b22542                                    big bad better based bit                  0
 221  sarn          b5432                                     be by but been                            0
 222  sarn          g365235                                   good getting giving get game ground       0
 223  sarn          b624                                      between big based                         0
 224  sarn          r371                                      really right real                         0
 225  sarn          d51935                                    during do department down design          0
 226  sarn          e462                                      early english eat                         0
 227  sarn          l548311                                   like life last love long look             0
 228  sarn          r8745                                     religious research right really           0
 229  sarn          h348                                      here hours hopefully                      0
 230  sarn          s743                                      so she some                               0
 231  sarn          m445341                                   might money making more music my          0
 232  sarn          a43686                                    after away against available already      0
 233  sarn          b241274                                   be by but been back because               0
 234  sarn          f4563                                     first family fucking from                 0
 235  sarn          a9337                                     additional away area actually             0
 236  sarn          a84542                                    and a as are at                           0
 237  sarn          m464821                                   might million money marketing may my      0
 238  sarn          p224                                      per pay point                             0
 239  sarn          f2344                                     for from first find                       0
 240  sarn          t3415                                     that their to though                      0
 241  sarn          e474                                      early evidence event                      0
 242  sarn          c33258                                    can could come city company               0
 243  sarn          t2422                                     the their two too                         0
 244  sarn          a2237                                     are all away actually                     0
 245  sarn          m1574                                     my me more make                           0
 246  sarn          s513                                      should so some                            0
 247  sarn          p36166                                    play playing pa program process           0
 248  sarn          a593523                                   and a as are at an                        0
 249  sarn          r21132                                    run re ra real red                        0
 250  sarn          m9325                                     manchester make man matter                0
 251  sarn          f472134                                   for from first find found feel            0
 252  sarn          d6354                                     decided down during doing                 0
 253  sarn          m3366                                     make most morning medical                 0
 254  sarn          d614372                                   do did day down does during               0
 255  sarn          b243                                      but being been                            0
 256  sarn          g227324                                   got god governor game guy great           0
 257  sarn          f54335                                    for from first find found                 0
 258  sarn          h445                                      house hours having                        0
 259  sarn          s378126                                   said starting sometimes st see support    0
 260  sarn          m24932                                    my me more make most                      0
 261  sarn          w22213                                    was who way we with                       0
 262  sarn          p2364                                     per play playing point                    0
 263  sarn          d283                                      do did day                                0
 264  sarn          m652775                                   million making may military minister ma…  0
 265  sarn          c23738                                    car city complete care character          0
 266  sarn          a395236                                   and a as are at an                        0
 267  sarn          c527                                      change can children                       0
 268  sarn          p126173                                   pa per playing po possible play           0
 269  sarn          f6634                                     for from first find                       0
 270  sarn          h233                                      his have here                             0
 271  sarn          e64898                                    english early effective experience equi…  0
 272  sarn          t25226                                    the to that this they                     0
 273  sarn          s546814                                   should still someone something so state   0
 274  sarn          e66278                                    english exactly eat evidence effective    0
 275  sarn          e5625                                     even every each end                       0
 276  sarn          s5552                                     should school second she                  0
 277  sarn          l24153                                    let least li living life                  0
 278  sarn          m33677                                    my me more make most                      0
 279  sarn          a76543                                    anything another around about also        0
