Centaur Zendo round final (final)
round_id : 8e0614dfe5cc4fa689b604889aee7864
written  : 2026-09-04 17:08:46Z
presented=3841  answered=3841  correct=1441  skipped=0
client answer latency: mean 0.102 ms  median 0.079 ms  max 16.673 ms  (n=3841)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          l35832                                    least likely ludicrous lynn lea           1
   1  sarn          d356                                      dude depict detailed                      1
   2  sarn          h625                                      hanging hell however                      1
   3  sarn          f4874                                     feared following formulate filth          0
   4  sarn          d5343                                     depict dude during draft                  1
   5  sarn          s652884                                   special summer sea something september …  0
   6  sarn          s52344                                    summer sea save sparks seared             1
   7  sarn          m64925                                    marilyn moist management meet making      0
   8  sarn          t523342                                   taking team that this these the           0
   9  sarn          r41552                                    right re raking really reed               0
  10  sarn          e785787                                   electoral equipment enough everyone eff…  0
  11  sarn          f22126                                    feel full for food funeral                1
  12  sarn          e5878                                     enough equipment electoral effective      0
  13  sarn          e357834                                   each enough electoral equipment else ev…  0
  14  sarn          d758225                                   director depict depending does dull dap…  0
  15  sarn          f51467                                    family for feared funeral formulate       1
  16  sarn          h62332                                    hanging hell have help hood               1
  17  sarn          t33447                                    that this these their together            0
  18  sarn          m27477                                    meet marginal moist military minister     0
  19  sarn          f244                                      feel feared filth                         1
  20  sarn          a597                                      almost association anything               0
  21  sarn          h521                                      however hell he                           1
  22  sarn          w14214                                    we wealth well wet which                  0
  23  sarn          l221125                                   lea lull let law leed likely              1
  24  sarn          w224                                      well wood wealth                          0
  25  sarn          e25888                                    eddy enough equipment effective executi…  0
  26  sarn          m984                                      management mediation moist                0
  27  sarn          s84567                                    something sparks summer special sophomo…  0
  28  sarn          b549                                      baking bunch background                   0
  29  sarn          c2544                                     cell conger curing could                  0
  30  sarn          s54336                                    summer sparks save sole special           1
  31  sarn          m7468                                     marginal moist marilyn mediation          1
  32  sarn          s8345                                     something save sparks summer              0
  33  sarn          s3462                                     save sparks special sea                   1
  34  sarn          b75353                                    building baking beast bummer bloom        0
  35  sarn          m435643                                   moist more making marilyn might make      0
  36  sarn          w3417                                     wave wealth we whatever                   0
  37  sarn          t2533                                     team taking that this                     0
  38  sarn          c8767                                     community children company complete       0
  39  sarn          p142                                      pat point pet                             0
  40  sarn          a5171                                     almost ae anything all                    0
  41  sarn          b367559                                   beast banging building baking bummer ba…  0
  42  sarn          s31327                                    save set sole sea sophomore               1
  43  sarn          d5435                                     depict during dude daphne                 1
  44  sarn          w72347                                    whatever well wave wealth watching        0
  45  sarn          h3124                                     have he hell health                       1
  46  sarn          d33984                                    dude draft degenerate depending during    1
  47  sarn          g716387                                   guardian get goodness gave graduating g…  1
  48  sarn          l631                                      leasing least let                         1
  49  sarn          h2133                                     hell he have help                         1
  50  sarn          w544                                      waking wealth which                       0
  51  sarn          e846977                                   equipment every example everything elec…  0
  52  sarn          d35566                                    dude depict daphne detailed denmark       1
  53  sarn          r426754                                   right reed ranging research raking reas…  0
  54  sarn          l1233                                     let lea least lynn                        1
  55  sarn          r2214                                     reed reel re right                        0
  56  sarn          e22678                                    eddy end example electoral equipment      0
  57  sarn          t343241                                   that these this team their te             0
  58  sarn          h1161                                     he hat hanging het                        1
  59  sarn          h3543                                     have however health help                  1
  60  sarn          w331                                      wave wynn we                              0
  61  sarn          w345241                                   wave wealth waking well which we          0
  62  sarn          f454784                                   feared family filth formulate following…  0
  63  sarn          w55237                                    waking within well wave whatever          0
  64  sarn          r142                                      re right reed                             0
  65  sarn          w2455                                     well wealth waking within                 0
  66  sarn          p77614                                    probably possible project pat point       0
  67  sarn          a733686                                   anything able anti affected according a…  0
  68  sarn          b964934                                   background banging bunch basketball bea…  0
  69  sarn          p32364                                    pave pet part project point               0
  70  sarn          l523751                                   likely lea least language longer let      0
  71  sarn          g3122                                     gave get good goes                        1
  72  sarn          d34261                                    dude during does detailed de              1
  73  sarn          r582                                      raking reference reed                     0
  74  sarn          e48473                                    every equipment eaten electoral each      1
  75  sarn          s524                                      summer sea sparks                         1
  76  sarn          h5614                                     however hanging he health                 1
  77  sarn          l52233                                    likely lea lull least lynn                1
  78  sarn          t421333                                   these team te that this they              0
  79  sarn          p352                                      pave people pet                           0
  80  sarn          a68539                                    affected according almost able associat…  1
  81  sarn          r622444                                   ranging reed reel right reason ready      0
  82  sarn          w5545                                     waking within wealth worked               0
  83  sarn          w4224                                     wealth well wood which                    0
  84  sarn          m649444                                   marilyn moist management might maybe ma…  0
  85  sarn          w231127                                   well wave we wet wood whatever            0
  86  sarn          p222334                                   pet peel pea pave part point              0
  87  sarn          t546544                                   taking these teasing though their there   0
  88  sarn          r26523                                    reed ranging raking reel role             0
  89  sarn          p236                                      pet pave project                          0
  90  sarn          p52355                                    people pet pave please public             0
  91  sarn          p544                                      people point place                        0
  92  sarn          r777662                                   research remember response ranging runn…  0
  93  sarn          b633                                      banging beast bloom                       0
  94  sarn          g1212                                     get good ge goes                          1
  95  sarn          s4244                                     sparks sea seared still                   0
  96  sarn          w534527                                   waking wave wealth within well whatever   0
  97  sarn          d5437                                     depict during dude director               0
  98  sarn          r52146                                    raking reed re right ranging              0
  99  sarn          d668                                      detailed denmark depending                1
 100  sarn          s26794                                    sea special sophomore successful sparks   0
 101  sarn          e86778                                    equipment example electoral everyone ef…  0
 102  sarn          e7287                                     electoral eddy equipment everyone         0
 103  sarn          a563163                                   almost affected able ae arcadia anti      1
 104  sarn          e467948                                   every example electoral everything eate…  0
 105  sarn          a1613                                     ae affected all able                      0
 106  sarn          p252                                      pet people peel                           0
 107  sarn          a5383                                     almost able according anti                1
 108  sarn          b6352                                     banging beast baking bet                  0
 109  sarn          h3564                                     have however hanging health               1
 110  sarn          g4432                                     geared gilles gave good                   1
 111  sarn          p55467                                    people please point project probably      0
 112  sarn          l412                                      lunch let lea                             1
 113  sarn          l155545                                   let likely longer little lunch living     0
 114  sarn          r614                                      ranging re right                          0
 115  sarn          d323533                                   dude does draft depict dave dole          1
 116  sarn          f6235                                     funeral feel from family                  1
 117  sarn          b972159                                   background building bet be baking baske…  0
 118  sarn          h7661                                     handicap hanging healing he               1
