Centaur Zendo round 3 (training)
round_id : 9ebb1e87977f4ced9e3dae5843cd9ef1
written  : 2026-09-04 16:53:13Z
presented=476  answered=476  correct=7  skipped=0
client answer latency: mean 0.104 ms  median 0.105 ms  max 0.173 ms  (n=476)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          d7172                                     director do daughter does                 0
   1  sarn          f33224                                    from find feel full first                 0
   2  sarn          h452                                      house however hell                        0
   3  sarn          f171                                      fi football fa                            0
   4  sarn          l41133                                    linear lex lam lake louis                 0
   5  sarn          s6758                                     sanders symbolic steven substrate         0
   6  sarn          t57123                                    though together to the that               0
   7  sarn          t542                                      taking these team                         1
   8  sarn          f2322                                     feel from full four                       0
   9  sarn          h2153                                     hell he however have                      1
  10  sarn          m6438                                     morning might more marketing              0
  11  sarn          h521545                                   health his he happen house higher         0
  12  sarn          p2532                                     pea prayer phil pear                      0
  13  sarn          l834                                      literally lima leith                      0
  14  sarn          e5282                                     enough end equipment eye                  0
  15  sarn          s47242                                    start starting seen small soon            0
  16  sarn          p524                                      people poor place                         0
  17  sarn          w21444                                    will was which would where                0
  18  sarn          f253153                                   feel family from for friend find          0
  19  sarn          g243                                      get going good                            0
  20  sarn          d21761                                    duel dim disabled destiny din             0
  21  sarn          t136                                      to tilt titanium                          0
  22  sarn          p4236                                     place poor part problem                   0
  23  sarn          a5261                                     anyone away american ass                  0
  24  sarn          b673234                                   because building back been best being     0
  25  sarn          t33722                                    that this together the two                0
  26  sarn          d4521                                     doing during due do                       0
  27  sarn          a52567                                    around and always another anything        0
  28  sarn          t142234                                   tor treat tri tha tired taste             0
  29  sarn          g3232                                     golem good gogo goes                      0
  30  sarn          w72142                                    whatever will was which who               0
  31  sarn          e8786                                     everybody election extremely economic     0
  32  sarn          p63655                                    problem part program people please        0
  33  sarn          l535112                                   little like living lot let look           0
  34  sarn          t722                                      together the two                          0
  35  sarn          m974764                                   management military might minister mill…  0
  36  sarn          m758734                                   marathon mainly millennium michelle min…  0
  37  sarn          g4246                                     guido good gabby gymnast                  0
  38  sarn          w15452                                    was within which worked will              0
  39  sarn          e769483                                   election economic eventually enjoy ever…  0
  40  sarn          t524323                                   though the their that two this            0
  41  sarn          b169543                                   be because background before being back   0
  42  sarn          l2626                                     look leading less leaving                 0
  43  sarn          t245                                      the their though                          0
  44  sarn          w71315                                    whipping wag wash wot whites              0
  45  sarn          h446336                                   hippy hough heathen hone huron humanoid   0
  46  sarn          b39254                                    back background been before being         0
  47  sarn          r246                                      road round release                        0
  48  sarn          b34474                                    back being better building black          0
  49  sarn          h6352                                     history have however hell                 0
  50  sarn          d443323                                   doing death down does due days            0
  51  sarn          d463539                                   doing decided down during does departme…  0
  52  sarn          t1312                                     tor tired tad tri                         0
  53  sarn          w27225                                    will womanizer who well werent            0
  54  sarn          h567                                      however history hospital                  0
  55  sarn          h11137                                    her how him help happiness                0
  56  sarn          h4133                                     house he have here                        0
  57  sarn          d4754                                     doing director during death               0
  58  sarn          h41555                                    house he however health higher            0
  59  sarn          s343253                                   some still said she should such           0
  60  sarn          w225725                                   wea wyn whites whipping ween wished       0
  61  sarn          b56443                                    bombay bourbon burial bunny brow          0
  62  sarn          c223258                                   call cool come cell change character      0
  63  sarn          b25344                                    ball beyond based bring board             0
  64  sarn          h2552                                     head however health hear                  0
  65  sarn          b43439                                    being back better best background         0
  66  sarn          s455842                                   state should second something since she   0
  67  sarn          p627311                                   problem put probably part pa po           0
  68  sarn          a335                                      array audit assets                        0
  69  sarn          c935765                                   contagious chew cowboy confined cycling…  0
  70  sarn          p235662                                   poor part people problem program pass     0
  71  sarn          w441324                                   world while war were why white            0
  72  sarn          l42211                                    least look less lot let                   0
  73  sarn          d186385                                   do different despite down difficult dur…  0
  74  sarn          t2224                                     the two tell their                        0
  75  sarn          t1263                                     to the through that                       0
  76  sarn          f442                                      fraud fancy fuss                          0
  77  sarn          w12453                                    was will whiny werent whiz                0
  78  sarn          b442                                      being better been                         0
  79  sarn          b6435                                     believe bring based beyond                0
  80  sarn          s917                                      successful so sometimes                   0
  81  sarn          w25232                                    will within who with well                 0
  82  sarn          w213445                                   will was with which would within          0
  83  sarn          c286553                                   can community company change course come  0
  84  sarn          w543322                                   whites wound wash wage wea wyn            0
  85  sarn          e48498                                    evict emptiness edema emblematic encomp…  0
  86  sarn          h25336                                    hell however have here history            0
  87  sarn          g32653                                    girl gain gallery george gave             0
  88  sarn          d6821                                     decision different does do                0
  89  sarn          e96448                                    everything example every early education  0
  90  sarn          s46281                                    state someone she something so            0
  91  sarn          a5243                                     around and about also                     0
  92  sarn          g365355                                   gosh geology ginger glen garlic glance    0
  93  sarn          m3242                                     mali mean mecca meet                      0
  94  sarn          p133                                      put part play                             0
  95  sarn          g6675                                     gallery georgia grateful george           0
  96  sarn          d4754                                     doing director during death               0
  97  sarn          w2332                                     will with what who                        0
  98  sarn          c87224                                    character children call cool could        0
  99  sarn          l142531                                   la later lot little like li               0
 100  sarn          f144524                                   fey fraud fancy finger fuss flood         0
 101  sarn          c6734                                     cycling confined chew cheek               0
 102  sarn          w413                                      which was with                            0
 103  sarn          m33524                                    much made market miss media               0
 104  sarn          d256                                      does during decision                      0
 105  sarn          t3375                                     that this together though                 0
 106  sarn          e285823                                   end education enough especially eat even  0
 107  sarn          c256                                      can change company                        0
 108  sarn          a331525                                   array audit all assets amid arrest        0
 109  sarn          f164154                                   for freeing filth few fiance feudal       0
 110  sarn          b44534                                    being better before back black            0
 111  sarn          e692                                      economic eventually eye                   0
 112  sarn          d147343                                   do doing director down death days         0
 113  sarn          h134216                                   he have house hell his history            0
 114  sarn          l211135                                   look lot let law like looking             0
 115  sarn          b3344                                     been back being based                     0
 116  sarn          g2513                                     gio ginger gon gosh                       0
 117  sarn          m653433                                   mascara morals mali mecca mono mast       0
 118  sarn          a352414                                   also around and after ai along            0
 119  sarn          w222721                                   why week wait wildlife wall war           0
 120  sarn          f355                                      from family friend                        0
 121  sarn          a75945                                    anything around absolutely about always   0
 122  sarn          h7513                                     hospital however he have                  0
 123  sarn          d21174                                    did do de director doing                  0
 124  sarn          c4963                                     cheap compliance climate comic            0
 125  sarn          t134                                      to tilt tease                             0
 126  sarn          t523                                      though the that                           0
 127  sarn          f3548                                     face former field francisco               0
 128  sarn          p456                                      place people problem                      0
 129  sarn          b246263                                   been being because book between back      0
 130  sarn          d3677                                     down despite different director           0
 131  sarn          e853677                                   education enough even example everyone …  0
 132  sarn          p76227                                    proposal pattern pea pear province        0
 133  sarn          t13522                                    to tilt topical the two                   0
 134  sarn          f3874                                     from financial february first             0
 135  sarn          r7413                                     recently round ran race                   0
 136  sarn          s615612                                   someone so should support say she         0
 137  sarn          s853818                                   something should some september so situ…  0
 138  sarn          s766                                      sometimes someone service                 0
 139  sarn          c336                                      come city company                         0
 140  sarn          l46253                                    linear lottery loot logical lake          0
 141  sarn          l154515                                   lot lambda leith libido let locator       0
 142  sarn          c612                                      company can call                          0
 143  sarn          e647                                      economic enjoy election                   0
 144  sarn          d59258                                    during department does design different   0
 145  sarn          p37534                                    part probably people play place           0
 146  sarn          g455                                      going getting general                     0
 147  sarn          e6884                                     example education effective every         0
 148  sarn          d5618                                     donald destiny dim directory              0
