Centaur Zendo round final (final)
round_id : 7180016ed9ca41f9ad54676ff16d747c
written  : 2026-09-04 12:51:00Z
presented=3177  answered=2657  correct=1303  skipped=520
client answer latency: mean 0.103 ms  median 0.093 ms  max 16.556 ms  (n=3177)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  sarn          l35832                                    lose lizzie louisiana lose lab            0
   1  sarn          d356                                      dean debate deborah                       1
   2  sarn          h625                                      harvard his hockey                        1
   3  sarn          f4874                                     flown frequency familiar flown            0
   4  sarn          d5343                                     debate dean death dean                    1
   5  sarn          s652884                                   selling senior sol socialist socialist …  0
   6  sarn          s52344                                    senior sac seem stick stick               0
   7  sarn          m64925                                    million maple metabolism map making       0
   8  sarn          t523342                                   thesis ten trek trek tract ten            0
   9  sarn          r41552                                    None                                      0
  10  sarn          e785787                                   enforced empirical eugene enforced empi…  0
  11  sarn          f22126                                    fot fot fe fot freight                    0
  12  sarn          e5878                                     eighty exceeding enclosed exceeding       0
  13  sarn          e357834                                   None                                      0
  14  sarn          d758225                                   deadline debate depending dig dig debate  1
  15  sarn          f51467                                    None                                      0
  16  sarn          h62332                                    harvard his have have his                 1
  17  sarn          t33447                                    tilt tilt tract tract teaching            0
  18  sarn          m27477                                    map millions maple millions millions      1
  19  sarn          f244                                      fut fungi fungi                           0
  20  sarn          a597                                      agency atmosphere american                1
  21  sarn          h521                                      hockey his he                             1
  22  sarn          w14214                                    we wiper wob we wiper                     0
  23  sarn          l221125                                   lsd lsd lo lo lsd lizzie                  0
  24  sarn          w224                                      wax wax waver                             1
  25  sarn          e25888                                    eel enlist expansive expansive expansive  0
  26  sarn          m984                                      measurable miserable maple                0
  27  sarn          s84567                                    stressful shake senior selling switched   0
  28  sarn          b549                                      booked basic brightness                   1
  29  sarn          c2544                                     can closed clean clean                    1
  30  sarn          s54336                                    senior slave seem seem selling            0
  31  sarn          m7468                                     millions maple million miserable          1
  32  sarn          s8345                                     synthesis seem slide senior               0
  33  sarn          s3462                                     seem spare selling swa                    0
  34  sarn          b75353                                    blizzard booked band booked band          1
  35  sarn          m435643                                   maple mark making million maple mark      1
  36  sarn          w3417                                     None                                      0
  37  sarn          t2533                                     ten thesis tong tong                      1
  38  sarn          c8767                                     currently carolina capable carolina       1
  39  sarn          p142                                      pa polly pom                              0
  40  sarn          a5171                                     agency an american an                     1
  41  sarn          b367559                                   band britain blizzard booked booked bri…  1
  42  sarn          s31327                                    seem se seem ski saturday                 0
  43  sarn          d5435                                     debate death dean debate                  1
  44  sarn          w72347                                    None                                      0
  45  sarn          h3124                                     have he his heaps                         1
  46  sarn          d33984                                    dean dean definition depending death      1
  47  sarn          g716387                                   None                                      0
  48  sarn          l631                                      lighter leap lo                           0
  49  sarn          h2133                                     his he have have                          1
  50  sarn          w544                                      webber widen widen                        0
  51  sarn          e846977                                   None                                      0
  52  sarn          d35566                                    dean debate debate deborah deborah        1
  53  sarn          r426754                                   None                                      0
  54  sarn          l1233                                     lo lue lena lena                          0
  55  sarn          r2214                                     ret ret rn relic                          0
  56  sarn          e22678                                    None                                      0
  57  sarn          t343241                                   tilt tract tilt ten tract te              0
  58  sarn          h1161                                     he he harvard he                          1
  59  sarn          h3543                                     have hockey heaps have                    1
  60  sarn          w331                                      whig whig wu                              0
  61  sarn          w345241                                   None                                      0
  62  sarn          f454784                                   None                                      0
  63  sarn          w55237                                    None                                      0
  64  sarn          r142                                      re rhine ray                              0
  65  sarn          w2455                                     wei wring waxing waxing                   0
  66  sarn          p77614                                    None                                      0
  67  sarn          a733686                                   american able able advised advancing ad…  1
  68  sarn          b964934                                   brightness britain basic brightness ban…  1
  69  sarn          p32364                                    None                                      0
  70  sarn          l523751                                   lizzie lex liza leighton lizzie lo        0
  71  sarn          g3122                                     glum ge gay gay                           0
  72  sarn          d34261                                    dean death dig deborah de                 1
  73  sarn          r582                                      rooted resilient rei                      0
  74  sarn          e48473                                    None                                      0
  75  sarn          s524                                      senior seg scope                          0
  76  sarn          h5614                                     hockey harvard he heaps                   1
  77  sarn          l52233                                    lizzie lax lax loco loco                  0
  78  sarn          t421333                                   tract ten te tint tint tint               0
  79  sarn          p352                                      phew piracy pom                           0
  80  sarn          a68539                                    advised announced agency able atmosphere  0
  81  sarn          r622444                                   reserve rev rev ratio ratio ratio         0
  82  sarn          w5545                                     waking waking willy waking                0
  83  sarn          w4224                                     weber wad wad weber                       0
  84  sarn          m649444                                   million maple meaningful maple maple ma…  0
  85  sarn          w231127                                   None                                      0
  86  sarn          p222334                                   pix pix pix peel peel probe               0
  87  sarn          t546544                                   thesis tract turkish thesis tract tract   0
  88  sarn          r26523                                    None                                      0
  89  sarn          p236                                      pyr peek poverty                          0
  90  sarn          p52355                                    puzzle pyx pulp puzzle puzzle             0
  91  sarn          p544                                      plasma pablo pablo                        0
  92  sarn          r777662                                   receptor receptor receptor resolve reso…  0
  93  sarn          b633                                      britain band band                         1
  94  sarn          g1212                                     go gim go gim                             0
  95  sarn          s4244                                     sharp sax sharp sharp                     0
  96  sarn          w534527                                   None                                      0
  97  sarn          d5437                                     debate death dean deadline                1
  98  sarn          r52146                                    None                                      0
  99  sarn          d668                                      deborah deborah depending                 1
 100  sarn          s26794                                    None                                      0
 101  sarn          e86778                                    episcopal echoing eleventh eleventh epi…  0
 102  sarn          e7287                                     eviction ewe encrypted eviction           0
 103  sarn          a563163                                   agency advised able an advised able       1
 104  sarn          e467948                                   None                                      0
 105  sarn          a1613                                     an advised an able                        1
 106  sarn          p252                                      pot preach pot                            0
 107  sarn          a5383                                     agency able advancing able                1
 108  sarn          b6352                                     britain band booked boo                   1
 109  sarn          h3564                                     have hockey harvard heaps                 1
 110  sarn          g4432                                     grits grits gobi geb                      0
 111  sarn          p55467                                    None                                      0
 112  sarn          l412                                      lumen lo luz                              0
 113  sarn          l155545                                   lo lizzie lizzie lizzie leila lizzie      0
 114  sarn          r614                                      rebound ra reddy                          0
 115  sarn          d323533                                   dean dig dean debate dean dean            1
 116  sarn          f6235                                     foreman foo fuji freddy                   0
 117  sarn          b972159                                   brightness blizzard boo by booked brigh…  0
 118  sarn          h7661                                     houghton harvard harvard he               0
 119  sarn          r765664                                   None                                      0
 120  sarn          l51255                                    lizzie lo lab lizzie lizzie               0
 121  sarn          t327714                                   tied ten teaching teaching to tract       0
 122  sarn          h354                                      have hockey heaps                         1
 123  sarn          t2441                                     ten tract tract tu                        0
 124  sarn          p3865                                     None                                      0
 125  sarn          e334955                                   None                                      0
 126  sarn          f4356                                     fined fuji flavor feeding                 0
 127  sarn          w3144                                     wong wi welch welch                       0
 128  sarn          b34364                                    band basic band britain basic             1
 129  sarn          b53364                                    booked band band britain basic            1
 130  sarn          g6515                                     grenade glossy go glossy                  0
 131  sarn          e34786                                    None                                      0
 132  sarn          s25212                                    sig senior sig se sig                     1
 133  sarn          e466347                                   None                                      0
 134  sarn          t221551                                   ten ten te thesis thesis te               0
 135  sarn          w4231                                     None                                      0
 136  sarn          f3244                                     fuji fei flair flair                      0
 137  sarn          m64659                                    million maple million making miraculous   1
 138  sarn          a36356                                    able advised able agency advised          1
 139  sarn          t25437                                    ten thesis tract tidy teaching            0
 140  sarn          h6367                                     harvard have harvard hartford             0
 141  sarn          s24573                                    suk sixth senior striking seem            0
 142  sarn          a365                                      able advised agency                       1
 143  sarn          t454                                      tract thesis tract                        1
 144  sarn          c253                                      can closed cell                           1
